Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
26400;17029;13315;10425;9360;9905;10014;9337
26500;19730;14250;12294;10737;11208;10380;10742
26600;17779;13789;11413;9945;9857;9732;10022
26700;17373;14052;11305;10179;10204;9696;9838
26800;17660;13214;10974;10096;9810;9702;9929
26900;17899;13230;11657;9991;10018;9817;9818
27000;17517;13258;11202;10019;10049;9796;9728
27100;17459;13088;11134;9975;9990;9762;9805
27200;17715;13471;11219;10106;10206;9848;10023
27300;17560;13330;11129;10104;10424;9964;9871
27400;17727;13174;11367;10227;10092;10060;9975
27500;17853;13209;11172;10113;10029;9979;9966
27600;17626;13199;11112;10108;10158;10036;10033
27700;17803;13235;11290;10281;10071;10276;10258
27800;17794;13477;11394;10339;10410;10292;10247
27900;18082;13346;11440;10548;10464;10149;10454
28000;18370;13539;11201;10370;10294;10273;10141
28100;17582;13092;11163;10221;10241;10021;10052
28200;17598;13098;11423;10211;10257;10755;10092
28300;17667;13382;11308;10277;10286;10172;10223
28400;17701;13146;11224;10358;10296;10402;10266
28500;17761;13258;11187;10354;10351;10244;10820
28600;17788;13164;11323;10454;10408;10250;10275
28700;17900;13183;11198;10670;10389;10402;10276
28800;18617;14278;12024;10887;10609;10331;10970
28900;18012;13303;11344;10536;10506;10359;10807
29000;18581;13363;11476;10537;10585;11696;11438
29100;22446;17589;15180;15657;14867;14484;14489
29200;27772;19436;16245;15047;15522;14448;14646
29300;24274;18308;15078;13973;14167;14258;14183
29400;24051;17746;15476;14456;13482;13184;13320
29500;24767;18933;17182;14585;13315;13643;13160
29600;23134;17708;15024;14819;14217;13815;13682
29700;20909;14727;11994;11860;12252;10927;10878
29800;19233;13639;12245;11181;10603;11173;10734
29900;18281;13909;11230;10440;10401;10838;10747
30000;19481;14369;11858;11080;10970;11631;10626
30100;21764;14246;11797;11049;11049;10699;11019
30200;20486;15029;13289;11468;11522;11789;13392
30300;22378;15182;12703;11634;11478;11524;11356
30400;19588;14622;11988;11286;11650;11338;11517
30500;19527;14403;12260;12172;11645;11897;11361
30600;19294;14051;12789;11164;11229;11919;11480
30700;20052;14615;12481;11558;11429;11576;12167
30800;19944;14420;12656;11583;11927;12445;11610
30900;20169;14371;12928;11757;11439;11804;12053
31000;19558;14404;12702;11458;11349;11986;11256
31100;19604;14399;12162;11521;12092;11416;11380
31200;19644;14188;12195;11746;11836;11451;11399
31300;19568;14385;12250;11698;11466;11393;11467
31400;19750;14343;12260;11687;11451;11427;11428
31500;19667;14625;13126;11771;11506;11431;11438
31600;19813;14517;12490;11895;11668;11745;11656
31700;19746;14338;12330;11896;11558;11516;11681
31800;19801;14452;12413;11987;11546;11616;11684
31900;20146;14500;12482;12129;11913;11695;11775
32000;20009;14621;12496;12158;11707;11751;11812
32100;19995;14701;12496;12300;12586;11744;11848
32200;20533;14637;12783;12319;12098;11905;12173
