Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
18900;15046;10917;8379;7771;6893;6861;6490
19000;15414;9501;7821;7810;6906;6929;6266
19100;16210;9659;8040;7845;6950;6972;6338
19200;15853;9557;7940;7864;7356;6855;6366
19300;15753;9607;8048;7930;7098;7013;6366
19400;15805;9815;8097;8234;7069;7055;6399
19500;16030;9319;7977;8032;7087;7147;6443
19600;16029;9743;8276;8014;7132;7158;6492
19700;16370;9806;8070;8157;7187;7425;6504
19800;16265;9863;8155;8069;7206;7186;6554
19900;16665;9954;8178;8141;7266;7259;6877
20000;16496;9995;8278;8167;7281;7252;6628
20100;16718;9973;8235;8197;7329;7508;6991
20200;16646;9972;8233;8211;7346;7345;6692
20300;16728;9979;8272;8253;7613;7384;6993
20400;17080;10497;8349;8361;7430;7464;6746
20500;17173;10289;8802;8390;7152;7345;6853
20600;17713;10638;8529;8435;7821;7498;7117
20700;17646;10579;8669;8263;7724;7679;7028
20800;17807;10596;8783;8477;8196;7581;7114
20900;17564;10411;8988;8554;8130;7621;7027
21000;17491;10841;9329;8482;8002;7654;6975
21100;17537;11045;9195;8585;8472;7672;7260
21200;17552;11361;9640;8825;8346;7683;7027
21300;17617;11025;9434;8652;8477;7757;7113
21400;18008;11133;9543;8688;8844;7780;7135
21500;17801;11290;9432;9049;8775;7806;6779
21600;18082;11421;9862;8819;8810;7729;7396
21700;17999;11797;9989;8838;8885;7914;7217
21800;18160;11959;10241;8971;9048;7986;7271
21900;18211;11746;10222;9129;9401;7950;7267
22000;18262;12111;10370;9137;8962;8036;7317
22100;18378;12051;10623;9256;9014;8021;7505
22200;18942;12121;10599;9022;9021;8063;7784
22300;18874;12205;10584;9122;9102;8343;7436
22400;18048;12520;10825;8937;9138;8227;7453
22500;18775;12539;10954;9126;9114;8198;7454
22600;19129;12774;10934;9178;9205;8187;7600
22700;19090;12804;11124;9237;9232;8216;7846
22800;18913;12994;11164;9276;9248;8289;7578
22900;19034;13277;11198;9337;9295;8394;7620
23000;19220;13283;11246;9679;9159;8935;7646
23100;19351;13123;11288;9660;9351;8366;7634
23200;19482;13518;11310;9485;9391;8696;7678
23300;19488;13489;11317;10105;9784;8723;8044
23400;20028;13658;11701;9519;9457;9046;8865
23500;19527;13702;11390;9719;9501;7966;7664
23600;21704;14600;11480;9582;9804;8845;7846
23700;20044;14619;11552;9567;9771;8569;7929
23800;19926;14418;11522;9767;9673;8598;7886
23900;20424;14682;11788;9707;9990;8764;7960
24000;20011;14458;12241;9755;9688;8687;7951
24100;20325;14553;11703;10121;9792;8758;8056
24200;20556;15202;11749;9805;9858;9022;8052
24300;20220;14661;11732;10166;10132;8823;8068
24400;20275;15105;12257;9844;10015;8851;8423
24500;20342;14885;11888;10007;9875;8875;8239
24600;20404;15128;11848;9869;9872;8893;8189
24700;20771;15303;11877;9956;10266;9230;8227
24800;20690;15067;11745;9990;10236;8957;8250
24900;20622;15251;11973;10028;10026;8959;8257
25000;20909;15589;12265;10081;10128;9044;8305
25100;20991;15159;12207;10370;10206;8913;8368
25200;20869;15211;12180;10209;10155;8889;8491
25300;21147;15466;12241;10106;10203;9149;8451
25400;20944;15223;12165;10224;10333;9160;8686
25500;20967;15648;12608;9988;10244;9282;8492
25600;21493;15347;12299;10626;10602;9276;8817
25700;21041;15807;12450;10353;10595;9366;8690
25800;21786;15299;12829;10899;10461;9324;8867
25900;21587;15595;12463;10228;10471;9659;9161
26000;21517;15564;12447;10456;10541;9402;9244
26100;21531;15499;12556;10476;10440;9229;9666
26200;21721;15425;12743;10919;10490;10229;9704
26300;21504;15478;12541;10758;10582;9656;9531
26400;21692;15506;12556;10677;10521;9566;8985
26500;22103;15774;12593;10586;10590;9556;9529
26600;22040;16097;12595;10660;10620;9613;9723
26700;21454;16726;12708;10716;11057;9559;9689
26800;23264;15687;12797;11028;10919;10237;10032
26900;22341;15912;12843;10879;10796;9734;9714
27000;21829;15947;12965;10653;10616;10350;10051
27100;22438;15810;12773;10881;11021;9990;9767
27200;22261;16158;13000;11042;11141;9809;9809
27300;22310;15880;12820;10933;11002;9930;10363
27400;23258;16101;12835;10906;10934;9866;10453
27500;22383;15660;13321;11032;11009;9795;9914
27600;22818;15776;13048;10983;11026;10000;9946
27700;22322;15897;13124;11041;11505;9973;9945
27800;22114;15710;12907;11108;11105;10020;10384
27900;22634;15939;12871;11224;11681;10032;10303
28000;22803;15953;13175;11159;11332;10202;10250
28100;22985;16118;12908;11193;11173;10197;10101
28200;23063;16170;13234;11323;11562;9994;9828
28300;23008;16281;13074;11294;11248;10240;10195
28400;22813;16272;12987;11326;11302;10472;10108
28500;22995;16448;13187;11586;11338;10276;10101
28600;23988;16006;12926;11170;13310;10374;10268
28700;22986;16029;13048;11405;11476;10360;10718
28800;23395;16853;13227;11386;11465;10620;10364
28900;23157;16298;13083;12014;11543;10588;10439
29000;23240;16199;13123;11581;11580;10478;10438
29100;23302;16218;13153;11561;11762;10468;10516
29200;23951;16278;13241;11617;11941;10511;10498
29300;23562;16484;13283;11331;11701;10874;10602
29400;23637;16621;13139;11737;12299;10808;10879
29500;23949;16515;13381;11788;11755;10655;10885
29600;23979;16483;13443;11792;11790;10689;10732
29700;23861;17068;13488;12018;11803;10946;10717
29800;24123;16645;13516;11904;11913;11078;10770
29900;23971;16885;13512;12149;11969;10777;10805
30000;24371;16662;13134;11966;11962;10998;10854
30100;24446;16477;13631;12223;11604;10867;10879
30200;23824;16625;13625;12126;11992;10917;10899
30300;24258;16709;13619;12045;12017;10959;10936
30400;24354;16765;13697;12069;12064;11005;10985
30500;24858;16882;13987;12114;12126;11007;11011
30600;24809;16842;13681;12151;12375;11109;11069
30700;24451;16989;13811;12182;12168;11580;11057
30800;24517;17210;13857;12301;12357;12343;12182
30900;24599;16995;13938;12456;12249;12165;11510
31000;24891;17111;14205;12334;12284;11749;11379
