dataset,n,algorithm,time_us,symbol_ops
reversed,1200,merge_sort,2322.86,10483
reversed,1200,string_quick_sort,744.429,10078
reversed,1200,string_merge_sort_lcp,9124.86,4781
reversed,1200,msd_radix_sort,1935.43,5726
reversed,1200,msd_radix_sort_switch,761.714,6886
reversed,1300,quick_sort,1683.71,18302
reversed,1300,merge_sort,2536.71,11429
reversed,1300,string_quick_sort,822.286,10996
reversed,1300,string_merge_sort_lcp,9689.43,5157
reversed,1300,msd_radix_sort,2395.71,6216
reversed,1300,msd_radix_sort_switch,906.857,7432
reversed,1400,quick_sort,1972.29,19940
reversed,1400,merge_sort,3074,12567
reversed,1400,string_quick_sort,900.143,11995
reversed,1400,string_merge_sort_lcp,10913.7,5736
reversed,1400,msd_radix_sort,2587,6702
reversed,1400,msd_radix_sort_switch,880.429,8013
reversed,1500,quick_sort,2167.86,21509
reversed,1500,merge_sort,2967.29,13354
reversed,1500,string_quick_sort,1011,13001
reversed,1500,string_merge_sort_lcp,11131.7,6015
reversed,1500,msd_radix_sort,2510.29,7186
reversed,1500,msd_radix_sort_switch,955.857,8561
reversed,1600,quick_sort,2404.71,22806
reversed,1600,merge_sort,3519.29,14281
reversed,1600,string_quick_sort,1044.57,14063
reversed,1600,string_merge_sort_lcp,16543.3,6364
reversed,1600,msd_radix_sort,3793.71,7684
reversed,1600,msd_radix_sort_switch,1047.86,9132
reversed,1700,quick_sort,2168.57,24598
reversed,1700,merge_sort,3525.86,15220
reversed,1700,string_quick_sort,1053.71,14849
reversed,1700,string_merge_sort_lcp,14088,6788
reversed,1700,msd_radix_sort,3022.71,8176
reversed,1700,msd_radix_sort_switch,1143.14,9700
reversed,1800,quick_sort,2290.43,26057
reversed,1800,merge_sort,3993.57,15989
reversed,1800,string_quick_sort,1150.29,15902
reversed,1800,string_merge_sort_lcp,13619.1,7128
reversed,1800,msd_radix_sort,3099.86,8654
reversed,1800,msd_radix_sort_switch,1287.57,10261
reversed,1900,quick_sort,2733.57,27684
reversed,1900,merge_sort,3725.14,16714
reversed,1900,string_quick_sort,1215.43,16914
reversed,1900,string_merge_sort_lcp,17841,7355
reversed,1900,msd_radix_sort,5429.43,9130
reversed,1900,msd_radix_sort_switch,1407.71,10843
reversed,2000,quick_sort,2857,29366
reversed,2000,merge_sort,5310.14,17450
reversed,2000,string_quick_sort,1590.71,18022
reversed,2000,string_merge_sort_lcp,18038.7,7721
reversed,2000,msd_radix_sort,4784.57,9614
reversed,2000,msd_radix_sort_switch,1334.57,11384
reversed,2100,quick_sort,2770.71,30914
reversed,2100,merge_sort,4501.43,18426
reversed,2100,string_quick_sort,1372.71,19212
reversed,2100,string_merge_sort_lcp,18739.6,8045
reversed,2100,msd_radix_sort,3498.43,10114
reversed,2100,msd_radix_sort_switch,1328.57,11966
reversed,2200,quick_sort,2898.43,32246
reversed,2200,merge_sort,4681.14,19725
reversed,2200,string_quick_sort,1659.43,20237
reversed,2200,string_merge_sort_lcp,17750.4,8619
reversed,2200,msd_radix_sort,3924.14,10578
reversed,2200,msd_radix_sort_switch,1469.14,12538
reversed,2300,quick_sort,3164,33747
reversed,2300,merge_sort,5119.57,20953
reversed,2300,string_quick_sort,1715.71,21273
reversed,2300,string_merge_sort_lcp,17967.4,9165
reversed,2300,msd_radix_sort,3891.57,11068
reversed,2300,msd_radix_sort_switch,1490.14,13109
reversed,2400,quick_sort,3319.71,35177
reversed,2400,merge_sort,5294.71,22093
reversed,2400,string_quick_sort,1845.14,22413
reversed,2400,string_merge_sort_lcp,19055.9,9521
reversed,2400,msd_radix_sort,4077.29,11560
reversed,2400,msd_radix_sort_switch,1491.43,13671
reversed,2500,quick_sort,3299.71,36896
reversed,2500,merge_sort,5381.71,23295
reversed,2500,string_quick_sort,1821.43,23399
reversed,2500,string_merge_sort_lcp,24062,10156
reversed,2500,msd_radix_sort,4592.14,12028
reversed,2500,msd_radix_sort_switch,1606.71,14254
reversed,2600,quick_sort,4354.86,38923
reversed,2600,merge_sort,5515.71,24147
reversed,2600,string_quick_sort,1789.14,24632
reversed,2600,string_merge_sort_lcp,20933.9,10330
reversed,2600,msd_radix_sort,4539.14,12514
reversed,2600,msd_radix_sort_switch,1747.57,14827
reversed,2700,quick_sort,3769,40794
reversed,2700,merge_sort,5740.71,25276
reversed,2700,string_quick_sort,1935.43,25706
reversed,2700,string_merge_sort_lcp,20916.1,10836
reversed,2700,msd_radix_sort,4613.29,13002
reversed,2700,msd_radix_sort_switch,1700.57,15409
reversed,2800,quick_sort,3868.43,42692
reversed,2800,merge_sort,5812.43,26388
reversed,2800,string_quick_sort,2039.29,26618
reversed,2800,string_merge_sort_lcp,23632,11360
reversed,2800,msd_radix_sort,5057.71,13496
reversed,2800,msd_radix_sort_switch,2508.57,15972
reversed,2900,quick_sort,5194.43,44189
reversed,2900,merge_sort,6945.43,27237
reversed,2900,string_quick_sort,2343.14,27842
reversed,2900,string_merge_sort_lcp,26762.7,11621
reversed,2900,msd_radix_sort,5187.71,13966
reversed,2900,msd_radix_sort_switch,1958.43,16537
reversed,3000,quick_sort,4405,46120
reversed,3000,merge_sort,6891.71,28249
reversed,3000,string_quick_sort,2281.86,29007
reversed,3000,string_merge_sort_lcp,25271.3,12064
reversed,3000,msd_radix_sort,5244.57,14454
reversed,3000,msd_radix_sort_switch,2031.57,17148
nearly_sorted,100,quick_sort,80.7143,899
nearly_sorted,100,merge_sort,129.714,701
nearly_sorted,100,string_quick_sort,46,555
nearly_sorted,100,string_merge_sort_lcp,532.429,352
nearly_sorted,100,msd_radix_sort,184.714,476
nearly_sorted,100,msd_radix_sort_switch,66.1429,544
nearly_sorted,200,quick_sort,229.714,2093
nearly_sorted,200,merge_sort,301.286,1656
nearly_sorted,200,string_quick_sort,107.429,1243
nearly_sorted,200,string_merge_sort_lcp,1164,723
nearly_sorted,200,msd_radix_sort,320.143,924
nearly_sorted,200,msd_radix_sort_switch,125.714,1115
nearly_sorted,300,quick_sort,330.143,3593
nearly_sorted,300,merge_sort,496.857,2613
nearly_sorted,300,string_quick_sort,170.571,2289
nearly_sorted,300,string_merge_sort_lcp,1832.14,1102
nearly_sorted,300,msd_radix_sort,503.286,1396
nearly_sorted,300,msd_radix_sort_switch,184.571,1668
nearly_sorted,400,quick_sort,510.571,5440
nearly_sorted,400,merge_sort,664.571,3793
nearly_sorted,400,string_quick_sort,247.571,2850
nearly_sorted,400,string_merge_sort_lcp,2971.14,1522
nearly_sorted,400,msd_radix_sort,1036.29,1884
nearly_sorted,400,msd_radix_sort_switch,273.143,2199
nearly_sorted,500,quick_sort,637.571,6870
nearly_sorted,500,merge_sort,861.714,5132
nearly_sorted,500,string_quick_sort,299.286,3840
nearly_sorted,500,string_merge_sort_lcp,3107.86,2072
nearly_sorted,500,msd_radix_sort,854.714,2368
nearly_sorted,500,msd_radix_sort_switch,303.857,2819
nearly_sorted,600,quick_sort,786,8266
nearly_sorted,600,merge_sort,1059.86,6120
nearly_sorted,600,string_quick_sort,371.571,4547
nearly_sorted,600,string_merge_sort_lcp,4190.57,2491
nearly_sorted,600,msd_radix_sort,1009.14,2848
nearly_sorted,600,msd_radix_sort_switch,391.857,3379
nearly_sorted,700,quick_sort,969.286,10033
nearly_sorted,700,merge_sort,1307.14,7415
nearly_sorted,700,string_quick_sort,469.857,5503
nearly_sorted,700,string_merge_sort_lcp,4785.86,2976
nearly_sorted,700,msd_radix_sort,1148,3318
nearly_sorted,700,msd_radix_sort_switch,451.857,3948
nearly_sorted,800,quick_sort,1118.14,11557
nearly_sorted,800,merge_sort,1558.71,8610
nearly_sorted,800,string_quick_sort,465.571,6228
nearly_sorted,800,string_merge_sort_lcp,5409,3323
nearly_sorted,800,msd_radix_sort,1344.71,3804
nearly_sorted,800,msd_radix_sort_switch,496.857,4492
nearly_sorted,900,quick_sort,1401.57,14426
nearly_sorted,900,merge_sort,1846,9749
nearly_sorted,900,string_quick_sort,632.714,8053
nearly_sorted,900,string_merge_sort_lcp,6209.29,3721
nearly_sorted,900,msd_radix_sort,1463.29,4258
nearly_sorted,900,msd_radix_sort_switch,579.143,5062
nearly_sorted,1000,quick_sort,1504.71,15056
nearly_sorted,1000,merge_sort,1964.57,11369
nearly_sorted,1000,string_quick_sort,655,8389
nearly_sorted,1000,string_merge_sort_lcp,6779.14,4296
nearly_sorted,1000,msd_radix_sort,1675.86,4760
nearly_sorted,1000,msd_radix_sort_switch,631.571,5662
nearly_sorted,1100,quick_sort,1624.86,16906
nearly_sorted,1100,merge_sort,2177.71,12430
nearly_sorted,1100,string_quick_sort,672.857,9071
nearly_sorted,1100,string_merge_sort_lcp,7958,4711
nearly_sorted,1100,msd_radix_sort,1864.14,5232
nearly_sorted,1100,msd_radix_sort_switch,682.429,6219
nearly_sorted,1200,quick_sort,1948.43,20032
nearly_sorted,1200,merge_sort,2359,13473
nearly_sorted,1200,string_quick_sort,757.571,10004
nearly_sorted,1200,string_merge_sort_lcp,10221.7,5076
nearly_sorted,1200,msd_radix_sort,2353.86,5708
nearly_sorted,1200,msd_radix_sort_switch,894.286,6782
nearly_sorted,1300,quick_sort,2262.71,20246
nearly_sorted,1300,merge_sort,3087.57,14868
nearly_sorted,1300,string_quick_sort,1040.86,11660
nearly_sorted,1300,string_merge_sort_lcp,12157.7,5618
nearly_sorted,1300,msd_radix_sort,2719.43,6192
nearly_sorted,1300,msd_radix_sort_switch,998.143,7351
nearly_sorted,1400,quick_sort,2362.14,23117
nearly_sorted,1400,merge_sort,3483.57,16389
nearly_sorted,1400,string_quick_sort,964.571,12217
nearly_sorted,1400,string_merge_sort_lcp,12759.3,6206
nearly_sorted,1400,msd_radix_sort,2457.43,6688
nearly_sorted,1400,msd_radix_sort_switch,902.429,7964
nearly_sorted,1500,quick_sort,2315.57,23294
nearly_sorted,1500,merge_sort,3587.43,17746
nearly_sorted,1500,string_quick_sort,1066.29,13033
nearly_sorted,1500,string_merge_sort_lcp,11975.3,6629
nearly_sorted,1500,msd_radix_sort,2771.71,7176
nearly_sorted,1500,msd_radix_sort_switch,955.571,8536
nearly_sorted,1600,quick_sort,2707.43,25963
nearly_sorted,1600,merge_sort,3453.29,19103
nearly_sorted,1600,string_quick_sort,1159.86,14082
nearly_sorted,1600,string_merge_sort_lcp,12535.4,7128
nearly_sorted,1600,msd_radix_sort,2748.43,7668
nearly_sorted,1600,msd_radix_sort_switch,1048.71,9091
nearly_sorted,1700,quick_sort,2728.86,27410
nearly_sorted,1700,merge_sort,3729.43,20488
nearly_sorted,1700,string_quick_sort,1186,15319
nearly_sorted,1700,string_merge_sort_lcp,13459.6,7608
nearly_sorted,1700,msd_radix_sort,2986.14,8158
nearly_sorted,1700,msd_radix_sort_switch,1082.71,9672
nearly_sorted,1800,quick_sort,2952.43,29501
nearly_sorted,1800,merge_sort,3918.71,21929
nearly_sorted,1800,string_quick_sort,1249.43,16145
nearly_sorted,1800,string_merge_sort_lcp,13547.3,8156
nearly_sorted,1800,msd_radix_sort,3167.86,8654
nearly_sorted,1800,msd_radix_sort_switch,1157.43,10262
nearly_sorted,1900,quick_sort,2981,29836
nearly_sorted,1900,merge_sort,5087.29,23283
nearly_sorted,1900,string_quick_sort,2064.29,17413
nearly_sorted,1900,string_merge_sort_lcp,18600.4,8727
nearly_sorted,1900,msd_radix_sort,3148.71,9136
nearly_sorted,1900,msd_radix_sort_switch,1152.57,10860
nearly_sorted,2000,quick_sort,3026,32810
nearly_sorted,2000,merge_sort,4141.57,25057
nearly_sorted,2000,string_quick_sort,1313.57,18413
nearly_sorted,2000,string_merge_sort_lcp,15093,9176
nearly_sorted,2000,msd_radix_sort,3283.71,9602
nearly_sorted,2000,msd_radix_sort_switch,1262,11415
